datetime,temp,dew,humidity,windspeed
01-01-2016,28.4,11.9,37.8,16.6
02-01-2016,26.8,13,44.8,16.6
03-01-2016,25.5,14.6,52.8,18.4
04-01-2016,26.4,13.1,46.6,16.6
05-01-2016,27.1,13.5,44.9,16.6
06-01-2016,26.9,14.3,48.2,14.8
07-01-2016,26.1,17,58,15.8
08-01-2016,26.6,16.5,55.2,13
09-01-2016,26.3,13.5,47.6,16.6
10-01-2016,26,12.5,45.3,16.6
11-01-2016,26.1,14.6,50.4,24.1
12-01-2016,25.1,17.5,64.5,16.6
13-01-2016,24.6,17,64,16.6
14-01-2016,23.9,16.5,64.2,25.9
15-01-2016,23.6,16.3,64.8,16.6
16-01-2016,24.1,15.7,60.7,13
17-01-2016,24,14.7,58.3,16.6
18-01-2016,23.7,14.4,58.2,16.6
19-01-2016,23.5,10.3,45.8,20.5
20-01-2016,23.2,8.6,41.5,32.4
21-01-2016,23.9,9.2,41.5,18.4
22-01-2016,25.6,7.2,32.2,18.4
23-01-2016,25.9,9.1,36.4,18.4
24-01-2016,26.7,11.2,39.8,18.4
25-01-2016,25.2,11.7,45.3,18.4
26-01-2016,23.8,12,49.7,22.3
27-01-2016,23.7,16.1,64.4,18.4
28-01-2016,25.1,15.4,57,14.8
29-01-2016,26.5,16.6,57.2,18.4
30-01-2016,26.8,17.9,59.5,16.6
31-01-2016,26.4,18.3,62.3,16.6
01-02-2016,26.5,17.5,59.9,18.4
02-02-2016,26.7,15.7,53,16.6
03-02-2016,25.7,13.7,49.9,16.6
04-02-2016,24.6,14.6,55.4,22.3
05-02-2016,24.1,18,69.7,22
06-02-2016,23.6,16.5,66.5,16.6
07-02-2016,24,16.6,64.2,20.5
08-02-2016,24,16.6,64.4,18.4
09-02-2016,25.5,18.6,67.2,18.4
10-02-2016,25.9,17.4,62.9,18.4
11-02-2016,24.6,18.8,71,20.5
12-02-2016,23.8,17.1,67.8,20.5
13-02-2016,23.8,16,62.6,18.4
14-02-2016,24.8,12.7,50.3,24.1
15-02-2016,25.3,11.6,43.5,18.4
16-02-2016,26,16,56.4,18.4
17-02-2016,26,20.9,75,24.1
18-02-2016,26.5,18.9,64.4,22.3
19-02-2016,26.6,20.5,69.9,18.4
20-02-2016,27.6,19,60.4,20.5
21-02-2016,28.2,14.9,46.3,18.4
22-02-2016,27.4,9.4,34.3,22.3
23-02-2016,26,16.3,57,20.5
24-02-2016,25.7,21,76.3,25.9
25-02-2016,25.9,19.4,69.5,18.4
26-02-2016,26.3,19.6,68.4,20.5
27-02-2016,27.6,20.5,67.8,20.5
28-02-2016,27.5,22,72.9,20.5
29-02-2016,27.7,21.4,69.6,18.4
01-03-2016,28.6,20.5,62.9,20.5
02-03-2016,29.5,21.5,63.5,20.5
03-03-2016,30.8,19.4,52.6,18.4
04-03-2016,28.8,18,52.9,18.4
05-03-2016,28.8,18.4,55.6,20.5
06-03-2016,27.8,18,57.5,20.5
07-03-2016,28,17.3,53.9,20.5
08-03-2016,29.3,15.9,46.9,18.4
09-03-2016,29.1,17,49.3,24.1
10-03-2016,29.3,17.6,51.6,22.3
11-03-2016,29.7,20.3,59.7,18.4
12-03-2016,28,19.9,62.6,22.3
13-03-2016,27,20.6,69.1,18.4
14-03-2016,26.6,20.1,68,24.1
15-03-2016,27.4,19,61.6,25.9
16-03-2016,27.5,20.9,68.5,20.5
17-03-2016,27.5,21.8,72.1,18.4
18-03-2016,28.9,21.6,66.1,24.1
19-03-2016,31.2,18.8,51.8,18.4
20-03-2016,31.4,18.7,49.3,14.8
21-03-2016,30.4,18.2,52,20.5
22-03-2016,29.7,17.9,51.4,24.1
23-03-2016,31.7,16,43,20.5
24-03-2016,29.1,22.9,70,22.3
25-03-2016,28.4,24.1,78.1,23.4
26-03-2016,28.9,23.5,73.6,22.3
27-03-2016,30.7,21.1,58.3,20.5
28-03-2016,30.4,18.6,53.4,18.4
29-03-2016,29,22.4,69.4,22.3
30-03-2016,29.1,21.6,66.5,18.4
31-03-2016,28.3,22.1,70.6,22.3
01-04-2016,28.2,22.9,73.9,22.3
02-04-2016,28.3,23.7,76.6,22.3
03-04-2016,28.5,23.6,75.5,20.5
04-04-2016,29.1,23.8,73.7,18.4
05-04-2016,28.6,23.9,75.7,20.5
06-04-2016,28.8,22.2,67.9,24.1
07-04-2016,29.8,20.7,60.9,24.1
08-04-2016,30.6,17.4,48.9,20.5
09-04-2016,30.5,20.2,56.3,17.6
10-04-2016,30.3,21.9,62.1,25.9
11-04-2016,31,21.5,59.3,22.3
12-04-2016,30.7,21.8,61,24.1
13-04-2016,29.3,23.6,71.7,20.5
14-04-2016,29.2,22.9,69.8,20.5
15-04-2016,29.4,22.9,69.2,22.3
16-04-2016,29.2,23.3,71.2,27.7
17-04-2016,28.8,22.9,71.4,22.3
18-04-2016,30,23.9,71,24.1
19-04-2016,30.5,23.5,67,22.3
20-04-2016,30,24.1,71.2,22.3
21-04-2016,29.1,24.2,75,22.3
22-04-2016,28.6,22.3,69.5,22.3
23-04-2016,29.1,22.9,69.6,20
24-04-2016,29.1,22.8,69.1,20.5
25-04-2016,28.9,22.4,68.6,18.4
26-04-2016,29.5,23.1,69.8,17.2
27-04-2016,32.2,21,56.1,24.1
28-04-2016,31.7,22.1,58.3,24.1
29-04-2016,30.3,24.7,72.6,22.3
30-04-2016,29.9,24,71.4,22.3
01-05-2016,29.9,24.5,73.5,22.3
02-05-2016,30,24.7,74,22.3
03-05-2016,30.1,24.4,72.6,24.1
04-05-2016,29.9,24.6,73.5,22.3
05-05-2016,30.1,24.4,72,22.3
06-05-2016,29.9,23.7,69.8,22.3
